Speaker,Start Time,End Time
SPEAKER_02,0.03096875,4.890968750000001
SPEAKER_01,12.450968750000001,15.825968750000001
SPEAKER_02,17.27721875,20.75346875
SPEAKER_01,20.80409375,24.55034375
SPEAKER_02,24.83721875,47.314718750000004
SPEAKER_01,48.10784375,166.40159375000002
SPEAKER_02,167.11034375,168.37596875
SPEAKER_00,168.88221875000002,281.57346875
SPEAKER_02,281.57346875,288.32346875
SPEAKER_01,288.67784375,358.67534375
SPEAKER_02,358.79346875000005,360.43034375
SPEAKER_00,360.71721875000003,433.56659375000004
SPEAKER_02,433.56659375000004,433.65096875
SPEAKER_00,433.65096875,433.66784375000003
SPEAKER_02,433.66784375000003,434.69721875000005
SPEAKER_01,435.52409375,496.13909375000003
SPEAKER_00,499.73346875000004,537.63471875
SPEAKER_02,538.3603437500001,538.61346875
SPEAKER_00,538.61346875,538.9678437499999
